Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
8.72,179.1244659424,0.0233704199,0.0233704199,0.0000000000,-0.00083571,-0.00004493,-0.0027758089,176
8.77,179.1410217285,0.0037418648,0.0037418648,0.0000000000,-0.00059421,-0.00004228,-0.0018215964,177
8.82,179.1426849365,0.0302895340,0.0302895340,0.0000000000,-0.00078421,-0.00004349,-0.0032773639,178
8.87,179.1442260742,0.0315878698,0.0315878698,0.0000000000,-0.00092855,-0.00004382,-0.0024014970,179
8.92,179.1612548828,0.0262956177,0.0262956177,0.0000000000,-0.00095178,-0.00004642,-0.0025644593,180
8.97,179.1574401855,0.0167761779,0.0167761779,0.0000000000,-0.00084210,-0.00004642,-0.0016917925,181
9.02,179.1529846191,-0.0020101285,-0.0020101285,0.0000000000,-0.00051864,-0.00004642,-0.0011772087,182
9.07,179.1512451172,0.0209881045,0.0209881045,0.0000000000,-0.00060940,-0.00004674,-0.0022786380,183
9.12,179.1515808105,0.0056021985,0.0056021985,0.0000000000,-0.00046466,-0.00004707,-0.0021599454,184
9.17,179.1591033936,0.0141213706,0.0141213706,0.0000000000,-0.00048202,-0.00004707,-0.0019562353,185
9.22,179.1561889648,0.0117823304,0.0117823304,0.0000000000,-0.00046241,-0.00004707,-0.0024515132,186
9.27,179.1535491943,0.0170564983,0.0170564983,0.0000000000,-0.00051964,-0.00004707,-0.0027302362,187
9.32,179.1623535156,-0.0040019318,-0.0040019318,0.0000000000,-0.00027708,-0.00004707,-0.0009983372,188
9.37,179.1494140625,-0.0062098703,-0.0062098703,0.0000000000,-0.00008608,-0.00004707,-0.0007996052,189
9.42,179.1438903809,-0.0030231685,-0.0030231685,0.0000000000,0.00000127,-0.00004967,-0.0014223106,190
9.47,179.1400299072,-0.0260984411,-0.0260984411,0.0000000000,0.00036529,-0.00004967,0.0001589688,191
9.52,179.1382904053,-0.0104792927,-0.0104792927,0.0000000000,0.00039992,-0.00005000,-0.0016189180,192
9.57,179.1465301514,0.0073822667,0.0073822667,0.0000000000,0.00018469,-0.00005000,-0.0018722818,193
9.62,179.1415710449,0.0000358744,0.0000358744,0.0000000000,0.00013924,-0.00005000,-0.0016847972,194
9.67,179.1522064209,0.0061777753,0.0061777753,0.0000000000,0.00002799,-0.00005089,-0.0018256146,195
9.72,179.1516571045,0.0054488488,0.0054488488,0.0000000000,-0.00003699,-0.00005089,-0.0017662624,196
9.77,179.1343078613,-0.0042280392,-0.0042280392,0.0000000000,0.00004870,-0.00005089,-0.0011130151,197
9.82,179.1336669922,0.0017934928,0.0017934928,0.0000000000,0.00002547,-0.00005083,-0.0006317660,198
9.87,179.1377563477,0.0056337386,0.0056337386,0.0000000000,-0.00004116,-0.00005083,-0.0016423117,199
9.92,179.1444702148,0.0006267698,0.0006267698,0.0000000000,-0.00001880,-0.00005083,-0.0016842242,200
9.97,179.1454925537,-0.0077936661,-0.0077936661,0.0000000000,0.00010833,-0.00005083,-0.0003216101,201
10.02,179.1551513672,-0.0167736456,-0.0167736456,0.0000000000,0.00031270,-0.00005083,-0.0006296049,202
10.07,179.1640930176,-0.0204274456,-0.0204274456,0.0000000000,0.00049870,-0.00005198,-0.0009750460,203
10.12,179.1583862305,-0.0026044258,-0.0026044258,0.0000000000,0.00038426,-0.00005198,-0.0006492686,204
10.17,179.1661987305,-0.0313856489,-0.0313856489,0.0000000000,0.00068899,-0.00004933,0.0005405081,205
10.22,179.1593017578,-0.0000199694,-0.0000199694,0.0000000000,0.00047536,-0.00004900,-0.0026529966,206
10.27,179.1679840088,-0.0078791177,-0.0078791177,0.0000000000,0.00043802,-0.00004900,-0.0009777780,207
10.32,179.1753387451,-0.0197374191,-0.0197374191,0.0000000000,0.00056731,-0.00004510,-0.0011615770,208
10.37,179.1735534668,-0.0065463477,-0.0065463477,0.0000000000,0.00048021,-0.00004510,-0.0014620637,209
10.42,179.1725769043,-0.0164573341,-0.0164573341,0.0000000000,0.00055518,-0.00004599,-0.0006023491,210
10.47,179.1778564453,0.0007479910,0.0007479910,0.0000000000,0.00037519,-0.00004599,-0.0014772220,211
10.52,179.1894989014,-0.0060762215,-0.0060762215,0.0000000000,0.00034627,-0.00004599,-0.0004588915,212
10.57,179.1887359619,-0.0039823083,-0.0039823083,0.0000000000,0.00029903,-0.00004593,-0.0016237167,213
10.62,179.1937408447,-0.0023113103,-0.0023113103,0.0000000000,0.00024533,-0.00004593,-0.0017429113,214
10.67,179.1952362061,-0.0114757309,-0.0114757309,0.0000000000,0.00033171,-0.00004593,-0.0006348009,215
10.72,179.1893157959,-0.0076027611,-0.0076027611,0.0000000000,0.00033638,-0.00004469,-0.0016094902,216
